id	name	url	category_id	cat_caption	description	desc_tokens	desc_tokens_rake
21696531	Макаронные изделия	https://prom.ua/p21696531-product.html	35402	платья женские	"макаронные изделия ""слеза"" изготавливаются из наилучшего отечественного сырья (пшеничной муки высшего сорта) питьевой воды без красителей добавок.расфасовка 1кг 3 кг"	['наихорошее отечественное сырьё', 'пшеничная мука', 'питьевая вода', 'макаронные изделие', 'высочайшее сорт', '3 кг', 'слеза', 'красители', 'добавок.расфасовка']	"[""макаронные изделия `` слеза '' изготавливаются"", 'пшеничной муки высшего сорта', 'наилучшего отечественного сырья', 'питьевой воды']"
21696637	Нож мульчирователя Y	https://prom.ua/p21696637-product.html	801222	шины	нож мульчирователя y подобный	['нож мульчирователя y']	[]
21701400	Платье Голливуд 069	https://prom.ua/p21701400-product.html	35402	платья женские	платье расцветках: черное, беж, ментол, коралл электрик французский трикотаж артикул № 069 размеры 42, 44, 46	['французский трикотаж', '069 размеры', 'электрик', 'расцветки', 'платье', 'ментол', 'коралл', 'артикул']	['коралл электрик французский трикотаж артикул № 069 размеры 42', 'платье расцветках', 'ментол', 'черное', 'беж', '44']
21701408	Платье 069 Бэкс. Голливуд	https://prom.ua/p21701408-product.html	35402	платья женские	платье расцветках: черное, беж, ментол, коралл электрик французский трикотаж артикул № 069 размеры 42, 44, 46	['французский трикотаж', '069 размеры', 'электрик', 'расцветки', 'платье', 'ментол', 'коралл', 'артикул']	['коралл электрик французский трикотаж артикул № 069 размеры 42', 'платье расцветках', 'ментол', 'черное', 'беж', '44']
21701425	Платье голливуд 069	https://prom.ua/p21701425-product.html	35402	платья женские	платье расцветках: черное, беж, ментол, коралл электрик французский трикотаж артикул № 069 размеры 42, 44, 46	['французский трикотаж', '069 размеры', 'электрик', 'расцветки', 'платье', 'ментол', 'коралл', 'артикул']	['коралл электрик французский трикотаж артикул № 069 размеры 42', 'платье расцветках', 'ментол', 'черное', 'беж', '44']
21749824	Платье спина большой бант	https://prom.ua/p21749824-product.html	35402	платья женские	42,44,46	[]	[]
21766027	Защелка шариковая из нержавеющей стали	https://prom.ua/p21766027-product.html	151105	часы наручные и карманные	мощная шариковая защелка из нержавеющей стали. идеально подходят для установки массивные двери оконные блоки используемые агрессивной среде (перепады температур влажности). комплект входят шурупы из нержавеющей стали.	['перепады температур влажности', 'мощная шариковая защёлка', 'используемые агрессивная среда', 'оконные блоки', 'массивные двери', 'шурупы', 'установка', 'комплект']	['установки массивные двери оконные блоки используемые агрессивной среде', 'мощная шариковая защелка', 'перепады температур влажности', 'комплект входят шурупы', 'нержавеющей стали', 'идеально подходят']
21766668	Багет R 23    19х19мм	https://prom.ua/p21766668-product.html	801222	шины	экструдированный плинтус (багет) 2м	['экструдированный плинтус', 'багет']	['экструдированный плинтус', 'багет']
21766686	Багет R 25  27х27мм	https://prom.ua/p21766686-product.html	801222	шины	экструдированный плинтус (багет) 2м	['экструдированный плинтус', 'багет']	['экструдированный плинтус', 'багет']
21766699	Багет R 27  25х25мм	https://prom.ua/p21766699-product.html	801222	шины	экструдированный плинтус (багет) 2м	['экструдированный плинтус', 'багет']	['экструдированный плинтус', 'багет']
21766714	Багет R 28  29х29мм	https://prom.ua/p21766714-product.html	801222	шины	экструдированный плинтус (багет) 2м	['экструдированный плинтус', 'багет']	['экструдированный плинтус', 'багет']
21766744	Багет R 29  30х30мм	https://prom.ua/p21766744-product.html	801222	шины	экструдированный плинтус (багет) 2м	['экструдированный плинтус', 'багет']	['экструдированный плинтус', 'багет']
21766775	Багет R 34  45х45мм	https://prom.ua/p21766775-product.html	801222	шины	экструдированный плинтус (багет) 2м	['экструдированный плинтус', 'багет']	['экструдированный плинтус', 'багет']
21766789	Багет R 37  51х51мм	https://prom.ua/p21766789-product.html	801222	шины	экструдированный плинтус (багет) 2м	['экструдированный плинтус', 'багет']	['экструдированный плинтус', 'багет']
21766798	Багет R 38  51х51мм	https://prom.ua/p21766798-product.html	801222	шины	экструдированный плинтус (багет) 2м	['экструдированный плинтус', 'багет']	['экструдированный плинтус', 'багет']
21766809	Багет R 40  55х55мм	https://prom.ua/p21766809-product.html	801222	шины	экструдированный плинтус (багет) 2м	['экструдированный плинтус', 'багет']	['экструдированный плинтус', 'багет']
21766824	Багет R 43  75х75мм	https://prom.ua/p21766824-product.html	801222	шины	экструдированный плинтус (багет) 2м	['экструдированный плинтус', 'багет']	['экструдированный плинтус', 'багет']
21766840	Багет R 51  34х34мм	https://prom.ua/p21766840-product.html	801222	шины	экструдированный плинтус (багет) 2м	['экструдированный плинтус', 'багет']	['экструдированный плинтус', 'багет']
21793883	Платье 61Ш. Один рукав. В расцветках	https://prom.ua/p21793883-product.html	35402	платья женские	размеры: s, ткань: плотный дайвинг цвета: черный, электрик, бежевый	['плотный дайвинг цвета', 'электрик', 'ткань', 'размеры', 's']	['плотный дайвинг цвета', 's', 'черный', 'электрик', 'размеры', 'ткань']
21794227	Платье 18 Ш. Перед змейка. Рукав шифон. Черное	https://prom.ua/p21794227-product.html	35402	платья женские	размеры: s, m, ткань: дайвинг + рукав шифон цвет - черный	['шифон', 'цвет', 'ткань', 'рукав', 'размеры', 'дайвинг', 's', 'm']	['рукав шифон цвет', 'дайвинг', 's', 'm', 'размеры', 'ткань']
21794798	Платье в пол котон восточное	https://prom.ua/p21794798-product.html	35402	платья женские	42,44,46	[]	[]
21795611	Туника 246 Стиль. Мик	https://prom.ua/p21795611-product.html	35402	платья женские	размеры: s, m, ткань: французский трикотаж	['французский трикотаж', 'ткань', 'размеры', 's', 'm']	['m', 's', 'размеры', 'ткань']
21797384	Курсы  -легкий крой и пошив одежды , Пошив  женской одежды 	https://prom.ua/p21797384-product.html	35402	платья женские	приглашаем на обучение портновскому искусству , уроки рассчитаны для новичков для людей опытом !!! программа график индивидуальны , занятия проводим выездом ученику или мастеру. также предлагаем пошив одежды различных фасонов	['различные фасоны', 'пошив одежды', 'портновский искусство', 'ученик', 'уроки', 'программа', 'опыт', 'обучение', 'новички', 'мастер', 'люди', 'занятие', 'график', 'выезд']	['занятия проводим выездом ученику', 'программа график индивидуальны', 'обучение портновскому искусству', 'уроки рассчитаны', 'людей опытом', 'новичков', 'приглашаем', 'мастеру']
21863968	Платье стильное Top Bis Greta	https://prom.ua/p21863968-product.html	35402	платья женские	модное стильное платье из новой коллекции top bis осень-зима 2013-2014 top bis плаття greta 3/4 top bis плаття greta 3/4 top bis плаття greta 3/4 top bis плаття greta 3/4 xl top bis плаття greta 3/4 xxl	['top bis', 'greta', 'новая коллекция top bis', 'модное стильное платье', 'осень-зима', 'xxl']	['модное стильное платье']
21864490	Платье стильное Enny	https://prom.ua/p21864490-product.html	35402	платья женские	платье стильное из новой коллекции enny осень-зима 2013-2014	['новая коллекция enny', 'платье', 'осень-зима']	['платье стильное']
21864869	Платье из новой коллекции Enny	https://prom.ua/p21864869-product.html	35402	платья женские	платье стильное из новой коллекции enny осень-зима 2013-2014	['новая коллекция enny', 'платье', 'осень-зима']	['платье стильное']
21864916	Платье Enny осень-зима 2013-2014	https://prom.ua/p21864916-product.html	35402	платья женские	платье стильное из новой коллекции enny осень-зима 2013-2014	['новая коллекция enny', 'платье', 'осень-зима']	['платье стильное']
21864959	Платье 	https://prom.ua/p21864959-product.html	35402	платья женские	платье стильное из новой коллекции enny осень-зима 2013-2014	['новая коллекция enny', 'платье', 'осень-зима']	['платье стильное']
21864974	Платье женское	https://prom.ua/p21864974-product.html	35402	платья женские	платье стильное из новой коллекции enny осень-зима 2013-2014	['новая коллекция enny', 'платье', 'осень-зима']	['платье стильное']
21877297	Форма для приготовления вареников и пельменей,	https://prom.ua/p21877297-product.html	15030701	матрасы	форма для приготовления вареников пельмене, наборе - 3 формочки, диаметр: 10; 8;7,5 см.	['приготовление вареников', '3 формочки', 'форма', 'пельмень', 'набор', 'диаметр']	['приготовления вареников пельмене', '7,5 см', '3 формочки', 'диаметр', 'наборе', 'форма', '8', '10']
21882165	Магазин сопротивлений Р403	https://prom.ua/p21882165-product.html	35402	платья женские	хорошем состоянии. кл.точности 0,02. 0,05w. 1976	['хорошее состояние', 'кл.точность', '0,05w']	['хорошем состоянии', 'кл.точности 0,02', '0,05w']
21886344	Платье женское Enny	https://prom.ua/p21886344-product.html	35402	платья женские	платье стильное из новой коллекции enny осень-зима 2013-2014	['новая коллекция enny', 'платье', 'осень-зима']	['платье стильное']
21886360	Платье модное Enny	https://prom.ua/p21886360-product.html	35402	платья женские	платье стильное из новой коллекции enny осень-зима 2013-2014	['новая коллекция enny', 'платье', 'осень-зима']	['платье стильное']
21886395	Платье черное Enny новая коллекция Днепропетровск	https://prom.ua/p21886395-product.html	35402	платья женские	платье черное из новой коллекции enny осень-зима 2013-2014	['новая коллекция enny', 'платье', 'осень-зима']	['платье черное']
